from_port_name,from_port_uuid,from_port_unlocode,from_port_lon,from_port_lat,to_port_name,to_port_uuid,to_port_unlocode,to_port_lon,to_port_lat,route_index,lat,lon,total_dist_nm
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,52,45.0,-55.0,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,53,43.7421,-59.7029,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,54,42.3,-64.2,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,55,40.6244,-68.6402,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,56,40.5541,-68.8267,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,57,40.5413,-68.8606,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,58,40.5226,-68.9101,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,59,40.5004,-68.9689,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,60,40.492,-69.468,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,61,40.4844,-69.9192,6391.7062
